,description,size,specificity,AUC_LB,fp,pn,fn,pp,ConfusionMatrix,tn,p,sensitivity_UB,tp,specificity_LB,AUC,n,sensitivity_LB,sensitivity,AUC_UB,specificity_UB,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno
0,Hispanic:no,32139,0.6965716620054677,0.7059878466738619,9656,22242,75,9897,True,22167,316,0.8084926244274868,241,0.6914870442237887,0.7296149449267846,31823,0.7118244344067226,0.7626582278481012,0.753242043179707,0.7016203775978331,no,,,,,,,,,,,
1,Hispanic:yes,2911,0.9390285911126421,0.6026431289749473,177,2729,3,182,True,2726,8,0.9147665858624069,5,0.9297005967899076,0.7820142955563212,2903,0.2448632163664999,0.625,0.9613854621376946,0.9474588815815531,yes,,,,,,,,,,,
2,age_first_child:<30,25929,0.6686123433730251,0.6922655652062388,8516,17235,53,8694,True,17182,231,0.8231591574307691,178,0.6628189546930807,0.7195875569678978,25698,0.7108809394579602,0.7705627705627706,0.746909548729557,0.6743675832382093,,<30,,,,,,,,,,
3,age_first_child:Nulliparous,5841,0.8499826569545612,0.7791906092095904,865,4916,15,925,True,4901,75,0.883517851409248,60,0.8405021730018887,0.8249913284772806,5766,0.6916739106298723,0.8,0.8707920477449707,0.8591075102280415,,Nulliparous,,,,,,,,,,
4,age_first_child:>=30,3280,0.8614347026364194,0.534686433182752,452,2820,10,460,True,2810,18,0.6924283410013173,8,0.849101192119516,0.652939573540432,3262,0.21530150738736786,0.4444444444444444,0.7711927138981117,0.8731161893096767,,>=30,,,,,,,,,,
5,age_group:45-49,2561,0.8804091266719118,0.7767947745235562,304,2241,3,320,True,2238,19,0.9661737509982353,16,0.8671585091591062,0.8612571949149033,2542,0.6042154487333166,0.8421052631578947,0.9457196153062504,0.8927762151409748,,,45-49,,,,,,,,,
6,age_group:60-64,5405,0.6124437781109445,0.69141546457489,2068,3278,10,2127,True,3268,69,0.9282508601079361,59,0.5992194954162264,0.7337581209395303,5336,0.7495800532837034,0.855072463768116,0.7761007773041706,0.6255449564688693,,,60-64,,,,,,,,,
7,age_group:50-54,6776,0.7694708680142688,0.7098623768578045,1551,5188,11,1588,True,5177,48,0.8796698331742108,37,0.7592171183011787,0.7701521006738011,6728,0.6268797526841396,0.7708333333333334,0.8304418244897975,0.7794905583178662,,,50-54,,,,,,,,,
8,age_group:70-74,3925,0.7721324095458044,0.6168871785259761,888,3019,10,906,True,3009,28,0.8135933399995547,18,0.7586332077552911,0.7074947762014736,3897,0.4406503127462668,0.6428571428571429,0.7981023738769711,0.7852223379127836,,,70-74,,,,,,,,,
9,age_group:55-59,7640,0.6645544554455446,0.656164888877608,2541,5050,16,2590,True,5034,65,0.8522769454002584,49,0.6537942405784833,0.709200304645849,7575,0.6312714174061591,0.7538461538461538,0.7622357204140903,0.6751879136557314,,,55-59,,,,,,,,,
10,age_group:75-79,3008,0.7391887361716393,0.6159493200214676,778,2213,8,795,True,2205,25,0.8505045773864304,17,0.723034844158605,0.7095943680858198,2983,0.46499928250261535,0.68,0.8032394161501715,0.7548721869734066,,,75-79,,,,,,,,,
11,age_group:80-84,1337,0.7849056603773585,0.4943011151023595,285,1046,6,291,True,1040,12,0.7890553617607032,6,0.7617845368794378,0.6424528301886794,1325,0.2109446382392967,0.5,0.790604545274999,0.8067555826802715,,,80-84,,,,,,,,,
12,age_group:65-69,4398,0.6732718894009216,0.6599649745700408,1418,2936,14,1462,True,2922,58,0.8612988000078775,44,0.6590898147081999,0.715946289528047,4340,0.628310283808442,0.7586206896551724,0.7719276044860531,0.6872204136480337,,,65-69,,,,,,,,,
