,description,size,specificity,AUC_LB,fp,pn,fn,pp,ConfusionMatrix,tn,p,sensitivity_UB,tp,specificity_LB,AUC,n,sensitivity_LB,sensitivity,AUC_UB,specificity_UB,degree,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno,specificity_CI_diff,AUC_CI_diff,sensitivity_CI_diff,sensitivity_CI_diff_impact,specificity_CI_diff_impact,sort_on_sensitivity,sort_on_specificity,sort_on_sensitivity_impact,sort_on_specificity_impact
0,Hispanic:no  age_first_child:<30,23910,0.6475804408411452,0.6846733763884072,8346,15387,51,8523,True,15336,228,0.8286838872248107,177,0.6414571348631958,0.7119481151574146,23682,0.7166115390580299,0.7763157894736842,0.7392228539264221,0.6536675099717787,2,no,<30,,,,,,,,,,,0.7494810470539348,-0.8608201368649089,-1.0511330376654704,0,1,392,107,,107.0
1,Hispanic:no  age_first_child:Nulliparous,5145,0.8306388012618297,0.765630364731318,859,4228,15,917,True,4213,73,0.8801869016645639,58,0.8200285298299114,0.8125796746035175,5072,0.6838384008029488,0.7945205479452054,0.8595289844757169,0.8408670693744665,2,no,Nulliparous,,,,,,,,,,,-7.168449824964285,-1.635179922982986,-0.9600938647734015,0,0,715,629,,
2,Hispanic:no  age_first_child:>=30,3084,0.8530465949820788,0.4980607141086011,451,2627,9,457,True,2618,15,0.6771302337934105,6,0.8400212523683468,0.6265232974910394,3069,0.16336432385951336,0.4,0.7549858808734777,0.8653949446871401,2,no,>=30,,,,,,,,,,,-6.8538665275193225,-0.8574459655496938,-0.8989088561081507,0,0,721,977,,
3,Hispanic:yes  age_first_child:<30,2019,0.9156746031746031,0.29778697978309554,170,1848,2,171,True,1846,3,0.9057006759492866,1,0.90268339732636,0.6245039682539681,2016,0.008403758659612647,0.3333333333333333,0.951220956724841,0.9274411464201471,2,yes,<30,,,,,,,,,,,-10.688459226427552,-0.5334553146154655,-0.736475793964473,0,0,1030,1363,,
4,Hispanic:yes  age_first_child:Nulliparous,696,0.9913544668587896,0.9922308638204427,6,688,0,8,True,688,2,1.0,2,0.9812778855154898,0.9956772334293947,694,0.15811388300839305,1.0,0.999123603038347,0.9968208226993296,2,yes,Nulliparous,,,,,,,,,,,-10.057214273500854,-57.52146737736946,-0.8969583514833376,0,0,1775,1801,,
5,Hispanic:yes  age_first_child:>=30,196,0.9948186528497409,0.5040425346301419,1,193,1,3,True,192,3,0.9915962413403874,2,0.9714709809226464,0.8307426597582037,193,0.09429932405071303,0.6666666666666666,1.0,0.9998688282513288,2,yes,>=30,,,,,,,,,,,-5.309122004453283,-0.938212647873427,-0.8651481120628973,0,0,1722,2083,,
6,Hispanic:no  age_group:45-49,2295,0.8686291739894552,0.7708552191138368,299,1980,3,315,True,1977,19,0.9661737509982353,16,0.8540561569510129,0.8553672185736749,2276,0.6042154487333166,0.8421052631578947,0.939879218033513,0.8822457350273761,2,no,,45-49,,,,,,,,,,-6.7669934713757645,-1.3837761078579214,-1.0,0,0,1176,1067,,
7,Hispanic:no  age_group:60-64,4929,0.5891791812384283,0.6872565748618328,1997,2873,9,2056,True,2864,68,0.937651685936562,59,0.5751957462488925,0.7284131200309789,4861,0.7635644456904779,0.8676470588235294,0.7695696652001248,0.6030554069281209,2,no,,60-64,,,,,,,,,,-0.13768694299835527,-0.9494747470181847,-1.2972073726403914,0,0,823,382,,
8,Hispanic:no  age_group:50-54,6144,0.7509427775045089,0.7027004762670146,1519,4590,10,1554,True,4580,45,0.8879540611228673,35,0.7398888052954897,0.7643602776411434,6099,0.6291124474005121,0.7777777777777778,0.8260200790152721,0.761756256758901,2,no,,50-54,,,,,,,,,,-3.213415731261004,-0.973342677615025,-1.0086257178058213,0,0,708,546,,
9,Hispanic:no  age_group:70-74,3461,0.7440302853814793,0.6144555578894466,879,2564,9,897,True,2555,27,0.834811820312585,18,0.7290846640083332,0.705348476024073,3434,0.4603927139075695,0.6666666666666666,0.7962413941586992,0.7585593093046444,2,no,,70-74,,,,,,,,,,-2.2755919335609365,-0.9866237068495927,-1.0527280815096731,0,0,737,720,,
10,Hispanic:no  age_group:55-59,7092,0.6439038270024185,0.640505406845749,2503,4542,16,2550,True,4526,63,0.8473301812029235,47,0.6325805537038157,0.6949677865170822,7029,0.6205970714475041,0.746031746031746,0.7494301661884155,0.6551076191726447,2,no,,55-59,,,,,,,,,,-0.05830224961962769,-0.8562357894902858,-0.9529210975398802,0,0,553,334,,
11,Hispanic:no  age_group:75-79,2852,0.7247966041740361,0.6087228425568878,778,2057,8,795,True,2049,25,0.8505045773864304,17,0.7079292938605974,0.7023983020870181,2827,0.46499928250261535,0.68,0.7960737616171483,0.7411973310786729,2,no,,75-79,,,,,,,,,,-1.4942356391219616,-0.9614281184163529,-1.0,0,0,845,769,,
12,Hispanic:no  age_group:80-84,1277,0.7747035573122529,0.4891658096691171,285,986,6,291,True,980,12,0.7890553617607032,6,0.750661905116445,0.6373517786561265,1265,0.2109446382392967,0.5,0.7855377476431358,0.7974612767400592,2,no,,80-84,,,,,,,,,,-2.264437081945727,-0.9826727676434311,-1.0,0,0,1045,1162,,
13,Hispanic:no  age_group:65-69,4089,0.6537698412698413,0.647231649747223,1396,2650,14,1439,True,2636,57,0.8587314222640399,43,0.6388532138496811,0.7040779030910611,4032,0.6223896951980541,0.7543859649122807,0.760924156434899,0.6684633231789097,2,no,,65-69,,,,,,,,,,-0.31656446676665906,-0.8880020751253431,-0.9749490338253519,0,0,726,492,,
14,Hispanic:yes  age_group:45-49,266,0.981203007518797,,5,261,0,5,True,261,0,,0,0.9566816702376083,,266,,,,0.993869188818673,2,yes,,45-49,,,,,,,,,,-3.4073443051423666,,,0,0,2124,2073,,
15,Hispanic:yes  age_group:60-64,476,0.8505263157894737,,71,405,1,71,True,404,1,0.975,0,0.8152345990228643,0.42526315789473684,475,0.0,0.0,,0.8813775582261217,2,yes,,60-64,,,,,,,,,,-4.265882056211352,,-0.7488582396241027,0,0,1429,1711,,
16,Hispanic:yes  age_group:50-54,632,0.9491255961844197,0.4811224623469349,32,598,1,34,True,597,3,0.9915962413403874,2,0.9289366239313902,0.8078961314255432,629,0.09429932405071303,0.6666666666666666,1.0,0.9649452203826917,2,yes,,50-54,,,,,,,,,,-5.71330522031711,-0.7658008724415736,-0.8322028200313316,0,0,1457,1695,,
17,Hispanic:yes  age_group:70-74,464,0.980561555075594,,9,455,1,9,True,454,1,0.975,0,0.9634215158552756,0.490280777537797,463,0.0,0.0,,0.9910739213939979,2,yes,,70-74,,,,,,,,,,-8.405804453909619,,-0.7488582396241027,0,0,1443,1902,,
