,description,size,specificity,AUC_LB,fp,pn,fn,pp,ConfusionMatrix,tn,p,sensitivity_UB,tp,specificity_LB,AUC,n,sensitivity_LB,sensitivity,AUC_UB,specificity_UB,degree,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno,specificity_CI_diff,AUC_CI_diff,sensitivity_CI_diff
0,Hispanic:no  age_first_child:<30  age_group:45-49,7183,0.852116624614522,0.8182839879209596,1055,6085,6,1098,True,6079,49,0.9537109689181043,43,0.8436653832497722,0.8648338225113426,7134,0.7523070316403134,0.8775510204081632,0.9113836571017255,0.8602790014908321,3,no,<30,45-49,,,,,,,,,,-12.657575765564216,-2.1487001056881803,-1.0978284456780307
1,Hispanic:no  age_first_child:<30  age_group:60-64,19725,0.5253399258343634,0.6935176075844792,9216,10232,32,9493,True,10200,309,0.9280801316659331,277,0.5182868961442314,0.7108900276421007,19416,0.856955739069626,0.8964401294498382,0.7282624476997223,0.5323853646476625,3,no,<30,60-64,,,,,,,,,,1.0365304288622341,-0.7162945674822642,-2.237925700652413
2,Hispanic:no  age_first_child:<30  age_group:50-54,20374,0.7451930206119322,0.7498267889794601,5155,15102,26,5272,True,15076,143,0.8776582449964948,117,0.7391288049428208,0.7816874193968752,20231,0.7450551675980972,0.8181818181818182,0.8135480498142904,0.7511867028282687,3,no,<30,50-54,,,,,,,,,,-8.392493776708836,-1.6039805299166985,-1.0508709006626018
3,Hispanic:no  age_first_child:<30  age_group:70-74,13709,0.7080822924320352,0.5980597389727342,3973,9678,41,4031,True,9637,99,0.6839962035079278,58,0.7003634360550692,0.6469704391453106,13610,0.4824440688224345,0.5858585858585859,0.6958811393178868,0.7157120930539024,3,no,<30,70-74,,,,,,,,,,-4.281887541981155,-0.9953051314008469,-1.0775032979483552
4,Hispanic:no  age_first_child:<30  age_group:55-59,25971,0.5995504050230611,0.6467999713912645,10332,15510,41,10461,True,15469,170,0.821028998335842,129,0.5935412522021679,0.6791869672174129,25801,0.6873653589251225,0.7588235294117647,0.7115739630435612,0.6055371284346274,3,no,<30,55-59,,,,,,,,,,1.0440278267961396,-0.8520251916051166,-1.0347999140209363
5,Hispanic:no  age_first_child:<30  age_group:75-79,10990,0.676697956929873,0.6792850756306308,3513,7383,30,3607,True,7353,124,0.8304296248300489,94,0.6678108973297143,0.7173812365294526,10866,0.6729780156907497,0.7580645161290323,0.7554773974282745,0.685490245449973,3,no,<30,75-79,,,,,,,,,,-2.0079572699197907,-1.1116384499972578,-1.4016927352875663
6,Hispanic:no  age_first_child:<30  age_group:80-84,4532,0.7325011145786893,0.6840357664549891,1200,3297,11,1235,True,3286,46,0.8741386051774097,35,0.7192876489023917,0.7466853398980403,4486,0.612331089885919,0.7608695652173914,0.8093349133410915,0.7454112545000471,3,no,<30,80-84,,,,,,,,,,-3.652649871737244,-0.9602020882665673,-1.0787546400994006
7,Hispanic:no  age_first_child:<30  age_group:65-69,16906,0.6036789297658863,0.6448729998549914,6636,10148,40,6758,True,10108,162,0.8173680498554929,122,0.5962228281653786,0.6783826747594863,16744,0.6793061371448265,0.7530864197530864,0.7118923496639811,0.6110990000158628,3,no,<30,65-69,,,,,,,,,,0.4674862436622429,-0.8205044198392839,-0.9803014794085286
8,Hispanic:no  age_first_child:Nulliparous  age_group:45-49,3074,0.8760330578512396,0.8890112755907962,375,2652,2,422,True,2650,49,0.9950181581650535,47,0.8637595396977054,0.9176083656603137,3025,0.8602128129775363,0.9591836734693877,0.9462054557298314,0.8875740178217385,3,no,Nulliparous,45-49,,,,,,,,,,-2.8579046414827607,-2.7224971585927045,-1.7938390258330394
9,Hispanic:no  age_first_child:Nulliparous  age_group:60-64,3038,0.8115165718111818,0.6626871315059598,563,2442,18,596,True,2424,51,0.7756937966643075,33,0.797021224703094,0.7292876976702968,2987,0.500681979116747,0.6470588235294118,0.7958882638346337,0.8253990171019072,3,no,Nulliparous,60-64,,,,,,,,,,-8.642470914520207,-0.9786750675053384,-1.0404456175897656
10,Hispanic:no  age_first_child:Nulliparous  age_group:50-54,6289,0.746914569642571,0.7418506418635034,1579,4668,8,1621,True,4660,50,0.9282992328167151,42,0.7359320890937538,0.7934572848212854,6239,0.7088736934048842,0.84,0.8450639277790677,0.7576657640504245,3,no,Nulliparous,50-54,,,,,,,,,,-0.4148146976470841,-0.8923751032634519,-1.0
11,Hispanic:no  age_first_child:Nulliparous  age_group:70-74,2065,0.876953125,0.5806899931721501,252,1804,8,261,True,1796,17,0.7701673127340251,9,0.8619406739546568,0.7031824448529411,2048,0.27811830033110513,0.5294117647058824,0.8256748965337322,0.8908768710201984,3,no,Nulliparous,70-74,,,,,,,,,,-5.294186732722464,-0.9588899190190393,-1.0364348204835492
12,Hispanic:no  age_first_child:Nulliparous  age_group:55-59,5825,0.8013245033112583,0.7607434069897286,1140,4615,17,1210,True,4598,87,0.8818513142363694,70,0.7907613638640668,0.8029611022303418,5738,0.70568022919767,0.8045977011494253,0.8451787974709549,0.8115803480504412,3,no,Nulliparous,55-59,,,,,,,,,,-7.958822137351858,-1.8528186281586598,-0.9822111499861923
13,Hispanic:no  age_first_child:Nulliparous  age_group:75-79,1884,0.9231590181430096,0.4307761361452374,144,1738,8,146,True,1730,10,0.5560954623076415,2,0.9101592828622089,0.5615795090715048,1874,0.025210726326833497,0.2,0.6923828819977724,0.9348148118003801,3,no,Nulliparous,75-79,,,,,,,,,,-8.789151327660848,-0.9900646611563823,-1.0
14,Hispanic:no  age_first_child:Nulliparous  age_group:80-84,987,0.9073319755600815,0.5134490143189157,91,893,2,94,True,891,5,0.9472550494736843,3,0.8874444297274289,0.7536659877800408,982,0.14663279963467254,0.6,0.9938829612411659,0.9247341418834699,3,no,Nulliparous,80-84,,,,,,,,,,-4.333406125471111,-0.8557241681553096,-0.9048923560590676
15,Hispanic:no  age_first_child:Nulliparous  age_group:65-69,2518,0.8738701725554643,0.8570588656515842,307,2135,8,383,True,2127,84,0.9579795734571743,76,0.8600244300868266,0.8893160386586845,2434,0.8209403467172751,0.9047619047619048,0.921573211665785,0.8868090877123026,3,no,Nulliparous,65-69,,,,,,,,,,-8.876817279249666,-3.388108648715828,-1.5500029165353033
16,Hispanic:no  age_first_child:>=30  age_group:45-49,1727,0.9204875217643644,0.34016497253457123,137,1589,3,138,True,1586,4,0.8058795503167566,1,0.9066943002274783,0.5852437608821822,1723,0.006309463209709889,0.25,0.8303225492297932,0.9328272715676377,3,no,>=30,45-49,,,,,,,,,,-3.551212926624846,-0.9957874859644192,-1.0
17,Hispanic:no  age_first_child:>=30  age_group:60-64,1647,0.9012269938650307,0.7287914490255188,161,1473,4,174,True,1469,17,0.9318922595626461,13,0.88570550049327,0.8329664381089859,1630,0.5010067267954199,0.7647058823529411,0.9371414271924531,0.9152853592371,3,no,>=30,60-64,,,,,,,,,,-11.3300266394996,-1.121167074888215,-1.0
