,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
0,mean_area:q80-100  mean_compactness:q80-100,48,-0.4365802943058221,-0.7869481765834933,-0.7869481765834933,q80-100,q80-100,,,,,,,,,,,,,,,,,,
1,mean_area:q80-100  mean_compactness:q60-80,39,-0.33715529753265605,-0.7603773584905661,-0.7603773584905661,q80-100,q60-80,,,,,,,,,,,,,,,,,,
2,mean_area:q00-20  mean_compactness:q20-40,28,-0.3309347768682334,0.5410615262740955,0.5410615262740955,q00-20,q20-40,,,,,,,,,,,,,,,,,,
3,mean_area:q00-20  mean_compactness:q40-60,20,-0.22604735883424407,0.5328779599271403,0.5328779599271403,q00-20,q40-60,,,,,,,,,,,,,,,,,,
4,mean_area:q00-20  mean_compactness:q00-20,41,-0.30704915003695493,0.5968218773096822,0.5968218773096822,q00-20,q00-20,,,,,,,,,,,,,,,,,,
5,mean_area:q20-40  mean_compactness:q20-40,33,-0.3136024423337856,0.536917684305744,0.536917684305744,q20-40,q20-40,,,,,,,,,,,,,,,,,,
6,mean_area:q20-40  mean_compactness:q40-60,28,-0.30195405334037495,0.5304990757855823,0.5304990757855823,q20-40,q40-60,,,,,,,,,,,,,,,,,,
7,mean_area:q20-40  mean_compactness:q00-20,32,-0.3009776536312849,0.5251396648044693,0.5251396648044693,q20-40,q00-20,,,,,,,,,,,,,,,,,,
8,mean_area:q40-60  mean_compactness:q20-40,31,0.13676699844106008,0.4013670703921334,0.4013670703921334,q40-60,q20-40,,,,,,,,,,,,,,,,,,
9,mean_area:q40-60  mean_compactness:q40-60,22,0.1897955791922885,0.3883164367625062,0.3883164367625062,q40-60,q40-60,,,,,,,,,,,,,,,,,,
10,mean_area:q40-60  mean_compactness:q00-20,29,0.15862068965517243,0.4777777777777778,0.4777777777777778,q40-60,q00-20,,,,,,,,,,,,,,,,,,
11,mean_area:q60-80  mean_compactness:q80-100,36,0.1946529080675422,-0.6472795497185742,-0.6472795497185742,q60-80,q80-100,,,,,,,,,,,,,,,,,,
12,mean_area:q60-80  mean_compactness:q60-80,26,0.3606034849128772,-0.569060773480663,-0.569060773480663,q60-80,q60-80,,,,,,,,,,,,,,,,,,
13,mean_area:q60-80  mean_compactness:q40-60,24,0.6291284403669725,-0.5284403669724771,-0.5284403669724771,q60-80,q40-60,,,,,,,,,,,,,,,,,,
14,mean_area:q80-100  mean_concave_points:q80-100,77,-0.434827367754197,-0.8237250554323725,-0.8237250554323725,q80-100,,q80-100,,,,,,,,,,,,,,,,,
15,mean_area:q80-100  mean_concave_points:q60-80,32,0.19570530726256982,-0.7262569832402235,-0.7262569832402235,q80-100,,q60-80,,,,,,,,,,,,,,,,,
16,mean_area:q00-20  mean_concave_points:q20-40,30,-0.21187384044526902,0.4658008658008658,0.4658008658008658,q00-20,,q20-40,,,,,,,,,,,,,,,,,
17,mean_area:q00-20  mean_concave_points:q00-20,60,-0.28988212180746564,0.5795677799607073,0.5795677799607073,q00-20,,q00-20,,,,,,,,,,,,,,,,,
18,mean_area:q20-40  mean_concave_points:q40-60,33,-0.25192220714608776,0.47156264133876075,0.47156264133876075,q20-40,,q40-60,,,,,,,,,,,,,,,,,
19,mean_area:q20-40  mean_concave_points:q20-40,42,-0.27871148459383754,0.501445739586157,0.501445739586157,q20-40,,q20-40,,,,,,,,,,,,,,,,,
20,mean_area:q20-40  mean_concave_points:q00-20,29,-0.3674329501915709,0.5446998722860792,0.5446998722860792,q20-40,,q00-20,,,,,,,,,,,,,,,,,
21,mean_area:q40-60  mean_concave_points:q60-80,22,0.6492438092072461,-0.46983546617915906,-0.46983546617915906,q40-60,,q60-80,,,,,,,,,,,,,,,,,
22,mean_area:q40-60  mean_concave_points:q40-60,34,0.29642660802638815,0.36074766355140186,0.36074766355140186,q40-60,,q40-60,,,,,,,,,,,,,,,,,
23,mean_area:q40-60  mean_concave_points:q20-40,32,-0.1319832402234637,0.48085428305400374,0.48085428305400374,q40-60,,q20-40,,,,,,,,,,,,,,,,,
