,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff,sensitivity_CI_diff_impact,specificity_CI_diff_impact,sort_on_sensitivity,sort_on_specificity,sort_on_balanced,sort_on_sensitivity_impact,sort_on_specificity_impact
0,mean_area:q80-100,113,0.0,0.0,,1.0,0,0.9955555555555555,1.0,0.975,True,0.0,0.9911504424778761,,113,0.9676000740686317,112,0.0,,112,1,1.0,0,0.0,1,0,1,q80-100,,,,,,,,,,-0.022315639264348763,-0.10831859812436206,0.8853582892515421,,0,0,124,80,80,,
1,mean_area:q00-20,114,1.0,1.0,1.0,0.6666666666666666,111,0.8,0.9915962413403874,1.0,True,0.8128433340529315,1.0,0.8333333333333333,2,0.09429932405071303,2,0.9673130059760023,0.5066726692433243,3,0,0.6666666666666666,112,0.0,111,1,1,q00-20,,,,,,,,,,-0.047315639264348786,-0.09991483946474944,-0.11464171074845786,-0.06425224331527146,0,0,65,104,81,,
2,mean_area:q20-40,114,1.0,1.0,1.0,0.6666666666666666,108,0.8,0.9567281317071105,1.0,True,0.8090398349558906,1.0,0.8333333333333333,4,0.22277809550354957,4,0.9664204497813456,0.6267349892318127,6,0,0.6666666666666666,110,0.554711477988254,108,2,1,q20-40,,,,,,,,,,-0.047315639264348786,-0.06504672983147253,-0.11464171074845786,-0.06425224331527146,0,0,73,109,89,,
3,mean_area:q40-60,113,0.9888888888888889,0.9369048626479506,0.9563978470660603,0.7391304347826086,89,0.8292682926829269,0.8977138660846415,0.9997187305863082,True,0.8009954044056159,0.9444444444444444,0.8640096618357488,18,0.5159480295975619,17,0.9396425194252669,0.7716214766054372,23,1,0.7391304347826086,95,0.7162066906419441,90,6,1,q40-60,,,,,,,,,,-0.04703436985065701,-0.006032464209003607,-0.051546573396408446,-0.02065009038133181,0,0,108,127,118,,
4,mean_area:q60-80,114,0.851063829787234,0.8937083942013786,0.9486433686828322,0.9253731343283582,40,0.9117647058823529,0.9753252934004099,0.9379558818776754,True,0.7819189363040937,0.8985507246376812,0.8882184820577961,69,0.8343738337951662,62,0.7169424657566865,0.8277935954327602,67,7,0.9253731343283582,45,0.6742839675414433,47,5,1,q60-80,,,,,,,,,,0.01472847885797579,-0.08364389152477192,-0.008350104949836457,-0.012895611998103629,0,1,99,77,88,,77.0
5,mean_compactness:q80-100,113,0.8235294117647058,0.9794709614131077,1.0,0.9895833333333334,14,0.9793814432989691,0.9997363076067266,0.9620149319295462,True,0.8567461831111808,0.9693877551020408,0.9065563725490196,98,0.9433252930116841,95,0.5656821271557161,0.8126029689033919,96,3,0.9895833333333334,15,0.7097394149072787,17,1,1,,q80-100,,,,,,,,,-0.009330571193895021,-0.10805490573108867,-0.0941126721615656,-0.06425224331527146,0,0,137,99,121,,
6,mean_compactness:q20-40,114,0.9801980198019802,0.9008635903295092,0.9946851573744133,0.7692307692307693,99,0.8,0.9496189265086185,0.9975928270907584,True,0.7761971190707802,0.8333333333333334,0.8747143945163747,12,0.46186846076595905,10,0.9302949102050755,0.754743631658336,13,2,0.7692307692307693,102,0.5431526916318615,101,3,1,,q20-40,,,,,,,,,-0.044908466355107146,-0.05793752463298052,-0.015505301077967104,-0.05893740068968478,0,0,85,98,87,,
7,mean_compactness:q60-80,114,0.98,0.969612002415488,0.9944899247683395,0.9375,49,0.96,0.9827099726189449,0.9994937720168847,True,0.9128054192294077,0.9836065573770492,0.95875,61,0.8476365265773032,60,0.893530454288499,0.9230100752316602,64,1,0.9375,53,0.8595930366120031,50,4,1,,q60-80,,,,,,,,,-0.046809411281233504,-0.09102857074330695,-0.08425371316394581,-0.05874216808361099,0,0,104,98,113,,
8,mean_compactness:q40-60,113,0.9629629629629629,0.9573309984227176,0.9975955142119418,0.9375,78,0.923076923076923,0.9923392636535437,0.9922959627312119,True,0.892239384654488,0.9090909090909091,0.9502314814814816,33,0.7919305701049926,30,0.8955562875743205,0.902867448751021,32,3,0.9375,80,0.7831689973054671,81,2,1,,q40-60,,,,,,,,,-0.039611601995560686,-0.10065786177790581,-0.07197270917117549,-0.061847757527213276,0,0,124,111,130,,
9,mean_compactness:q00-20,114,1.0,0.8453454896507766,0.8732650107681872,0.3333333333333333,108,0.5,0.7772219044964505,1.0,True,0.5669467095138409,1.0,0.6666666666666666,2,0.04327186829288956,2,0.9664204497813456,0.46006832256514607,6,0,0.3333333333333333,112,0.0,108,4,1,,q00-20,,,,,,,,,-0.047315639264348786,0.11445949737918748,0.040012799600765536,0.06248274591654135,1,0,78,116,82,78.0,
10,mean_concave_points:q80-100,113,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,112,0.9676000740686317,112,0.025000000000000022,,112,0,1.0,1,0.0,1,0,1,,,q80-100,,,,,,,,-0.047315639264348786,-0.10831859812436206,-0.11464171074845786,,0,0,139,137,142,,
11,mean_concave_points:q60-80,114,0.8181818181818182,0.8327667788072683,0.9340926066400124,0.9012345679012346,27,0.9125,0.9563870727079783,0.9302121163336903,True,0.7073465457483861,0.9240506329113924,0.8597081930415262,79,0.8146359499031919,73,0.6453994405499115,0.7853237794430405,81,6,0.9012345679012346,35,0.6163478984786384,33,8,1,,,q60-80,,,,,,,,0.02247224440196094,-0.06470567083234036,0.05259151044427379,0.0016551500447161693,0,1,96,79,86,,79.0
12,mean_concave_points:q40-60,113,0.9797979797979798,0.9422685086742816,0.9951482032089246,0.7857142857142857,97,0.8148148148148148,0.9534207121102133,0.9975440092064914,True,0.790427593000004,0.8461538461538461,0.8827561327561326,13,0.4920243229515283,11,0.9289238775381224,0.7703640623033406,14,2,0.7857142857142857,100,0.6403041323582334,99,3,1,,,q40-60,,,,,,,,-0.04485964847084023,-0.06173931023457535,-0.05691021942273944,-0.05940044652419607,0,0,106,116,110,,
13,mean_concave_points:q20-40,114,0.990909090909091,0.8121590909090906,0.8656119705047454,0.25,109,0.3333333333333333,0.8058795503167566,0.9997698645947924,True,0.3376412643274269,0.5,0.6204545454545455,2,0.006309463209709889,1,0.9503888106880153,0.37529712040434565,4,1,0.25,112,-0.026345357669336957,110,3,1,,,q20-40,,,,,,,,-0.04708550385914123,0.08580185155888131,0.07319919834245159,0.07013578617998317,1,0,80,113,84,80.0,
14,mean_concave_points:q00-20,114,1.0,0.0,,,114,,,1.0,True,0.0,,,0,,0,0.9681593459165257,,0,0,,114,0.0,114,0,1,,,q00-20,,,,,,,,-0.047315639264348786,,0.8853582892515421,,0,0,121,108,77,,
15,mean_concavity:q80-100,113,0.8571428571428571,0.9628965597848362,1.0,0.9905660377358491,6,0.9905660377358491,0.9997611812769212,0.9963897031380992,True,0.8477088948787062,0.9905660377358491,0.9238544474393532,106,0.9485569204599679,105,0.42127680295680187,0.7835520888907844,106,1,0.9905660377358491,7,0.47418253478836053,7,1,1,,,,q80-100,,,,,,,-0.043705342402447944,-0.10807977940128322,-0.0775382705332941,-0.06425224331527146,0,0,134,99,116,,
16,mean_concavity:q60-80,114,0.9142857142857143,0.9413274513378055,0.9847925380799196,0.9493670886075949,32,0.9554140127388535,0.9860338821108157,0.9819623601858004,True,0.8570145651351041,0.9615384615384616,0.9318264014466546,78,0.8754052019863798,75,0.7694249813410367,0.8788602648133896,79,3,0.9493670886075949,36,0.7524609790683875,35,4,1,,,,q60-80,,,,,,,-0.029277999450149195,-0.09435248023517773,-0.05596916208626335,-0.049044781395191084,0,0,86,60,78,,
17,mean_concavity:q20-40,114,0.9907407407407407,1.0,1.0,0.6666666666666666,107,0.7272727272727272,0.9567281317071105,0.9997656033275241,True,0.7168426638315362,0.8,0.8287037037037036,5,0.22277809550354957,4,0.9494894663432537,0.6219061902277686,6,1,0.6666666666666666,109,0.16848173775915215,108,2,1,,,,q20-40,,,,,,,-0.04708124259187285,-0.06504672983147253,-0.11464171074845786,-0.06425224331527146,0,0,58,84,61,,
18,mean_concavity:q40-60,113,0.9574468085106383,0.8801360615307565,0.9301385488442462,0.6842105263157895,90,0.7222222222222222,0.8742393641270166,0.9882857753060907,True,0.6712492495117058,0.7647058823529411,0.8208286674132138,17,0.4344984311538491,13,0.8946191022005925,0.7115187859821817,19,4,0.6842105263157895,96,0.4776198134925238,94,6,1,,,,q40-60,,,,,,,-0.03560141457043953,0.017442037748621297,0.005222227720785622,0.005609207840482355,1,0,99,105,98,99.0,
19,mean_concavity:q00-20,114,1.0,0.0,,0.0,113,,0.975,1.0,True,0.0,,,0,0.0,0,0.9678821442542596,,1,0,0.0,114,0.0,113,1,1,,,,q00-20,,,,,,,-0.047315639264348786,-0.08331859812436204,0.8853582892515421,,0,0,64,109,68,,
20,mean_fractal_dimension:q80-100,113,0.953125,0.9813561624999794,0.9944213820252278,0.9591836734693877,61,0.9494949494949495,0.9950181581650535,0.9902269250455445,True,0.9102790632279121,0.94,0.9561543367346939,50,0.8602128129775362,47,0.8690642627585973,0.9178872914441599,49,3,0.9591836734693877,63,0.8643782764532862,64,2,1,,,,,q80-100,,,,,,-0.037542564309893334,-0.10333675628941552,-0.09599787324843723,-0.05867362534049925,0,0,127,103,128,,
21,mean_fractal_dimension:q00-20,114,0.9454545454545454,0.9517735861217065,0.9772740781453024,0.9152542372881356,52,0.9310344827586206,0.9719087432789866,0.9886069937272912,True,0.860178789599605,0.9473684210526315,0.9303543913713406,57,0.8132056645283043,54,0.8487650452334005,0.8834347045973783,59,3,0.9152542372881356,57,0.7701107546165524,55,5,1,,,,,q00-20,,,,,,-0.03592263299164,-0.08022734140334864,-0.06641529687016434,-0.04152632146057389,0,0,85,73,92,,
22,mean_fractal_dimension:q20-40,114,0.9770114942528736,0.9754143515960418,1.0,0.9629629629629629,85,0.9454545454545454,0.9990627429080411,0.9972037589615492,True,0.9283875747814277,0.9285714285714286,0.9699872286079182,28,0.8102943825869554,26,0.9194141341632305,0.930386917756688,27,2,0.9629629629629629,86,0.8638359124902719,87,1,1,,,,,q20-40,,,,,,-0.04451939822589801,-0.10738134103240315,-0.0900560623444997,-0.06425224331527146,0,0,99,81,105,,
23,mean_fractal_dimension:q40-60,113,0.9857142857142858,0.9501412441175799,0.9851719937214554,0.8837209302325582,69,0.9268292682926831,0.9611476852219439,0.9996383824283673,True,0.8879168781943663,0.9743589743589743,0.9347176079734221,39,0.7491675746543474,38,0.9229562376632336,0.8842632222253883,43,1,0.8837209302325582,74,0.8190261908112694,70,5,1,,,,,q40-60,,,,,,-0.04695402169271612,-0.069466283346306,-0.0647829548660378,-0.049424237036726826,0,0,107,116,122,,
24,mean_fractal_dimension:q60-80,114,1.0,1.0,1.0,0.9696969696969697,81,0.9846153846153847,0.9992330879249276,1.0,True,0.9787090460886664,1.0,0.9848484848484849,32,0.8424060277275032,32,0.9554797375436782,0.955152060840302,33,0,0.9696969696969697,82,0.9338011238072736,81,1,1,,,,,q60-80,,,,,,-0.047315639264348786,-0.10755168604928966,-0.11464171074845786,-0.06425224331527146,0,0,98,108,107,,
25,mean_perimeter:q80-100,113,0.0,0.0,,1.0,0,0.9955555555555555,1.0,0.975,True,0.0,0.9911504424778761,,113,0.9676000740686317,112,0.0,,112,1,1.0,0,0.0,1,0,1,,,,,,q80-100,,,,,-0.022315639264348763,-0.10831859812436206,0.8853582892515421,,0,0,135,89,88,,
