,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,degree,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,specificity_CI_diff,sensitivity_CI_diff,phi_CI_diff,AUC_CI_diff,sensitivity_CI_diff_impact,specificity_CI_diff_impact,sort_on_sensitivity,sort_on_specificity,sort_on_balanced,sort_on_sensitivity_impact,sort_on_specificity_impact
0,mean_area:q80-100  mean_compactness:q80-100  mean_concave_points:q80-100,44,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,44,0.9195800602362292,44,,,44,0,1.0,0,0.0,0,0,3,q80-100,q80-100,q80-100,,,,,,,,,-0.9198313946089895,,,0,0,949,956,585,,
1,mean_area:q80-100  mean_compactness:q60-80  mean_concave_points:q80-100,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,3,q80-100,q60-80,q80-100,,,,,,,,,-0.928414854486329,,,0,0,1185,1330,1247,,
2,mean_area:q00-20  mean_compactness:q00-20  mean_concave_points:q00-20,38,1.0,0.0,,,38,,,1.0,True,0.0,,,0,,0,0.9074872385841217,,0,0,,38,0.0,38,0,3,q00-20,q00-20,q00-20,,,,,,,,-0.9300753212547102,,,,0,0,898,661,821,,
3,mean_area:q20-40  mean_compactness:q00-20  mean_concave_points:q00-20,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,3,q20-40,q00-20,q00-20,,,,,,,,-0.7414440549432461,,,,0,0,1476,1376,1397,,
4,mean_area:q60-80  mean_compactness:q80-100  mean_concave_points:q80-100,28,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,27,0.8722971323845661,27,0.025000000000000022,,27,0,1.0,1,0.0,1,0,3,q60-80,q80-100,q80-100,,,,,,,,-1.0,-0.9353342747902813,-1.0,,0,0,884,923,1146,,
5,mean_area:q80-100  mean_compactness:q80-100  mean_concavity:q80-100,46,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,46,0.9229381729484393,46,,,46,0,1.0,0,0.0,0,0,3,q80-100,q80-100,,q80-100,,,,,,,,-0.9599147616599635,,,0,0,681,830,743,,
6,mean_area:q80-100  mean_compactness:q60-80  mean_concavity:q60-80,25,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,25,0.8628148284692875,25,,,25,0,1.0,0,0.0,0,0,3,q80-100,q60-80,,q60-80,,,,,,,,-1.278508661365468,,,0,0,1056,1207,1118,,
7,mean_area:q00-20  mean_compactness:q00-20  mean_concavity:q00-20,34,1.0,0.0,,,34,,,1.0,True,0.0,,,0,,0,0.8971820757409873,,0,0,,34,0.0,34,0,3,q00-20,q00-20,,q00-20,,,,,,,-0.8368563838857211,,,,0,0,941,838,858,,
8,mean_area:q20-40  mean_compactness:q20-40  mean_concavity:q20-40,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,3,q20-40,q20-40,,q20-40,,,,,,,-0.7709492862419275,,,,0,0,1251,1146,1166,,
9,mean_area:q20-40  mean_compactness:q00-20  mean_concavity:q00-20,24,1.0,0.0,,,24,,,1.0,True,0.0,,,0,,0,0.8575264022774187,,0,0,,24,0.0,24,0,3,q20-40,q00-20,,q00-20,,,,,,,-0.7874353474306118,,,,0,0,1299,1192,1212,,
